epochs,steps_0,steps_1,steps_2,steps_3,diff_0,diff_1,diff_2,diff_3,qmean_0,qmean_1,qmean_2,qmean_3
1,,,,,0.0196616533311587,0.0196616533311587,0.006904172872569,0.0163337527256451,0.481869346715443,0.481869346715443,0.4737017397051835,0.4788844097403977
2,,,,,0.0104841035778585,0.0073295858877922,0.0064240757354844,0.0150920656617811,0.4867093701915794,0.4849135547901633,0.4736594297604169,0.4824973164822693
3,,,,,0.0070659175356266,0.0041531098633683,0.0036495650697146,0.0061397259892505,0.4882228091916776,0.4832549976048031,0.4737527859119244,0.4798471995827781
4,,,,,0.1088406689181358,0.0078907484086153,0.0039394255401235,0.0078925137207102,0.5900506432050038,0.481782149529068,0.4743650997173458,0.4817077083469591
5,,,,,0.0040739332131507,0.0067895129364482,0.0038401101736793,0.0056860842682027,0.5882448504599697,0.4798830571289459,0.4749746572641095,0.4795652225462188
6,,,,,0.0531147019438724,0.0053616250644882,0.0028739700572734,0.0048506255827519,0.6337713066449943,0.4769540138487484,0.4755027527122163,0.4763930203598435
7,,,,,0.0037303112502609,0.1057981985662217,0.0019039271397423,0.0018701604286052,0.6333879569253262,0.5795433138923833,0.4750875333545518,0.4746622404201099
8,,,,,0.0031279139373774,0.0047658718527092,0.0021313378496031,0.0037744553864016,0.6308706351460807,0.5768672906817226,0.4750561727975522,0.4733074364433502
9,,,,,0.0033216773690772,0.0055001181761644,0.0010256827872902,0.0029740086008883,0.6302342536735785,0.5754671334001047,0.474416141396394,0.471933300708691
10,,,,,0.0026175485282628,0.0046328899862711,0.0028983141419258,0.0009022937091582,0.628916034872492,0.5721780951732456,0.4746273484429761,0.4711558104709895
11,,,,,0.0039288591372969,0.0040048773530979,0.0013132315276153,0.0013215175796807,0.6290235739225252,0.5682844441360034,0.4739035204515879,0.4698361190185139
12,,,,,0.002519400386136,0.0037798311554435,0.001328519113339,0.0031056451846764,0.6269378429535754,0.5648061688688372,0.4731678707552694,0.4692538819916611
13,,,,,0.0027174073800097,0.003110030170382,0.0020227260763141,0.0013383206281332,0.6243740815880948,0.561696138698455,0.4729366152361972,0.4697782238396353
14,,,,,0.0030401133201389,0.0036492781105489,0.0013692751195423,0.0044849388442958,0.622128492319049,0.5586325564199529,0.4724096342147467,0.4678355828333502
15,,,,,0.002433591624959,0.0035368480067428,0.0013966458127224,0.1884139094294194,0.61969490069409,0.5550957084132101,0.4716940683871637,0.6544226030622763
16,,,,,0.0469520233827277,0.1428645683852142,0.0011856673853887,0.0035815892752523,0.661815539652223,0.6961235655583499,0.471006288411873,0.6528302844438427
17,,,,,0.0019226753872142,0.092993962649447,0.0009312843484937,0.003072994306751,0.6599055563700063,0.7869861115532286,0.4701521847812144,0.6499630599395779
18,,,,,0.0026779576207734,0.0877739820479576,0.0017144637692747,0.0024010499119972,0.6581043559112932,0.8735916999857624,0.4693188232794871,0.6476116420948715
19,,,,,0.0015561895159938,0.0845705207338621,0.0007660270165945,0.0033036464974745,0.65672065331768,0.956886056955223,0.4688779766045647,0.6456148870320408
20,,,,,0.0020395819715754,0.0800327751138572,0.0006931055395859,0.0009624546669978,0.6555991730199636,1.0357483246090209,0.4683441766509356,0.6446524323650429
21,,,,,0.0010436904183724,0.0827225556486711,0.0006370566306818,0.0032690309468054,0.6545663758282512,1.1165760356009526,0.4677788684670635,0.6443406762214574
22,,,,,0.0019088715295723,0.0737762497121087,0.0010314761049194,0.0022821418734195,0.653138468180151,1.187799965996697,0.4676188485706175,0.6422296926599911
23,21.0,,,,0.002073812861343,0.0691210761378855,0.000445382839645,0.001246851364551,0.6514889028260452,1.2564259936934277,0.4672067200430157,0.64098284129544
24,,,,,0.0010298727329213,0.0931726767362921,0.0004482014600219,0.0011533559927424,0.6505813447547534,1.347546213573794,0.4667857357861383,0.6403092788575351
25,19.0,,,,0.0018120374810058,0.0612966898330282,0.0002625233375716,0.0009240100134361,0.6487693072737475,1.4078585415991098,0.4665414338127958,0.6393852688440991
26,17.0,18.0,,,0.0608001509487322,0.0580823196850807,6.738078997649479e-05,0.000451292742663,0.7060430848459215,1.4653555817368065,0.4664850387099646,0.6389892501154218
27,,,,,0.1899539259700816,0.0778215394420678,0.0002305933646652,8.038224535819432e-06,0.8952193258134103,1.5430168028296585,0.4662618924340922,0.6389812118908861
28,,18.0,,,0.000927165875481,0.0530039917494352,0.0005472262825113,0.000630029159617,0.8944501341463716,1.5954386241479688,0.4659732116318354,0.6384050879283161
29,16.0,19.0,,,0.0013415122330928,0.059169930628439,5.4066945161429096e-05,0.0025769743182456,0.893130225791666,1.6544479799835834,0.465919450275002,0.6379720671418211
30,16.0,17.0,,,0.0167231591093356,0.047491745280077,0.0006737448359706,9.749249525592789e-08,0.9075783157313764,1.7018200829219905,0.4656839087851596,0.6379719696493258
31,16.0,17.0,,,0.0337678859262326,0.0450911642808783,0.0008191315073752,0.000737968335568,0.9399256929699203,1.746876090194274,0.4654102115895195,0.6376860160591641
32,16.0,17.0,,,0.0918825996868035,0.042826080448439,0.000628436598554,0.0036618393615201,1.0315892705624323,1.7896819176949397,0.4651574909184855,0.6372190854518744
33,16.0,17.0,,,0.0100546616525549,0.0406772042851989,0.0003991074770629,0.1708520915525138,1.039351019415146,1.830349543729446,0.4648495273761445,0.8066457713537031
34,16.0,17.0,,,0.2249474031082584,0.0386363998391871,0.0003388824401122,0.0007159203869211,1.264282808511462,1.8689859435686336,0.4645106449360323,0.8059431847556012
35,16.0,17.0,,,0.0909993349103956,0.0366906412262498,0.0005248823868412,0.000796487577804,1.354944235918125,1.905676584794883,0.4640419365855697,0.8052602505206776
36,16.0,17.0,,,0.0820027226581963,0.0348066779024678,0.0006019047299716,0.167633898795941,1.43693889742032,1.9404832626973516,0.4638556159235236,0.9724538434445874
37,16.0,17.0,,,0.2299431713487875,0.0329544866796073,0.0006080628804983,0.0003979574755921,1.666848089540958,1.9734377493769584,0.4635115549935526,0.9720721609432792
38,17.0,17.0,,,0.0664331925957086,0.0729680112476912,9.277942111078832e-05,6.937616706115234e-05,1.7328349675824006,2.046341849519363,0.4634187755724419,0.972044493952854
39,17.0,17.0,,,0.286261853802125,0.0352974810990445,0.0008169478301173,0.000369202340836,2.0188298299261622,2.081639330618408,0.4633688941137299,0.9720137212552868
40,18.0,17.0,,,0.2441676184181716,0.0467819381616072,0.0006298497723315,0.1526767657694926,2.261323389877101,2.128421268780015,0.4629638399233809,1.123768492099792
41,16.0,17.0,,,0.2509547491442256,0.02480450122438,0.0017034742203486,0.0011413819166638,2.511668845072483,2.153225770004395,0.4629698433736576,1.1233473230437652
42,16.0,17.0,,16.0,0.3683825169496778,0.0228673167921154,0.0001362163668625,0.1386315352818383,2.880051362022161,2.1760930867965103,0.462833627006795,1.261254638503755
43,16.0,17.0,,16.0,0.156300028030283,0.0210490000529317,0.0006303687605521,0.0010101849450945,3.0363513900524435,2.1971420868494422,0.4624359043618911,1.2615793439099343
44,16.0,17.0,,16.0,0.1572984448356324,0.0191450098707423,0.0003997528679776,0.0005397292386522,3.193649834888076,2.2162870967201846,0.4622163028423796,1.2616334841302288
45,16.0,17.0,,16.0,0.2756295693047952,0.0170977293020458,0.0005143493741312,0.0010843295489572,3.469279404192872,2.2333848260222298,0.4620408888717225,1.261813828198017
46,16.0,17.0,,17.0,0.0679420656489649,0.0149716382398535,0.0007785957553574,0.1262971723789137,3.537221469841836,2.248356464262084,0.4617473946616147,1.387470199304635
47,16.0,17.0,,17.0,0.4234311556722965,0.0128682662790864,0.0006591880626103,0.000502250196836,3.960432497402916,2.26122473054117,0.4613060201263289,1.3876583259791715
48,16.0,17.0,,17.0,0.1790279334267213,0.0108764716326922,0.0005434339281865,0.1143413031196132,4.139460430829637,2.2721012021738622,0.4608336624443713,1.501999629098785
49,16.0,17.0,,17.0,0.0896088176244953,0.00905607876643,0.0007132535520105,0.1042498407248319,4.229069248454134,2.281157280940292,0.4603031637288746,1.6058161217110127
50,16.0,17.0,,18.0,0.1238934234512061,0.0074386449878506,0.0005764740995446,0.0946407956784486,4.352962671905339,2.2885959259281434,0.4598322844237303,1.7004569173894613
51,16.0,17.0,,18.0,0.2495199805761179,0.0060340309314952,0.0002231416720271,0.085926719199565,4.602482652481457,2.2946299568596387,0.459609142751703,1.7863836365890269
52,16.0,17.0,,18.0,0.2175573376629827,0.0048374022339305,0.0005812864099652,0.0781921349886153,4.820039990144441,2.299467359093569,0.4590311139422262,1.8645757715776416
53,16.0,17.0,,18.0,0.4150518479460058,0.0038348616583679,0.0009383906657532,0.0718330226000678,5.235091838090447,2.303302220751936,0.4585629502866337,1.9358323498550745
54,16.0,17.0,,18.0,0.4294331287505082,0.0030075025386988,0.0005109163092884,0.0647567865875762,5.664524966840954,2.306309723290635,0.458288570719118,2.0005891364426507
55,16.0,17.0,,18.0,0.1594073567044097,0.0023341854300563,0.0005470430001572,0.0589217387994957,5.823932323545363,2.308643908720692,0.4577955219537492,2.0595108752421463
56,16.0,17.0,,18.0,0.2754111768960827,0.0017933953890017,0.0004883079915074,0.0536206960939563,6.099343500441446,2.3104373041096937,0.4573072139622418,2.1131315713361025
57,16.0,17.0,,18.0,0.152133486328818,0.0013644564738373,0.0004106226463602,0.0487997645107796,6.251476986770265,2.3118017605835317,0.4568965913158814,2.1619313358468824
58,16.0,17.0,,18.0,0.0568582434138549,0.0010282908010504,0.0003200500567023,0.0444012158598347,6.308335230184119,2.3128300513845814,0.4565938567934994,2.206332551706717
59,16.0,17.0,,18.0,0.099271706152531,0.0007678467860646,0.0003338176847163,0.0434765647044866,6.40760693633665,2.313597898170646,0.4562600391087831,2.249809116411204
60,16.0,17.0,,18.0,0.2275074892384029,0.0005682842975474,0.0004200988760967,0.0395817872676661,6.635114425575053,2.314166182468193,0.4558399402326863,2.28939090367887
61,16.0,17.0,,18.0,0.0817626211961201,0.0004169838242682,0.0002273724429665,0.0392576347083867,6.716877046771173,2.3145831662924614,0.4556125677897198,2.3286485383872564
62,16.0,17.0,,18.0,0.0774623162845952,0.0003034340379676,0.0003258870579757,0.0357243447015229,6.794339363055769,2.3148866003304294,0.4554481877820131,2.36437288308878
63,16.0,17.0,,18.0,0.0234698622624237,0.0002190423951994,0.0004093764722197,0.0325091421200307,6.817809225318192,2.3151056427256287,0.4553183062550401,2.3968820252088103
64,16.0,17.0,,17.0,0.0342668386024046,0.000156904540652,0.000243170764356,0.149621700862304,6.852076063920597,2.3152625472662813,0.4551269252112643,2.5465037260711143
65,16.0,17.0,,17.0,0.007265805176001,0.0001115597924096,0.0001316869484304,0.0047070333076109,6.859341869096598,2.31537410705869,0.4549952382628339,2.551210759378726
66,16.0,17.0,,17.0,0.005448585518567,7.87521481481289e-05,0.0007106186636701,0.0013183467537804,6.864790454615165,2.315452859206839,0.4547083119515238,2.5525291061325053
67,16.0,17.0,,17.0,0.2362468012865348,5.5209428788671744e-05,0.0004164520901637,0.0640867174860018,7.1010372559017,2.3155080686356277,0.4544287158669722,2.6166158236185075
68,16.0,17.0,,17.0,0.0034394289556097,3.844762983898526e-05,0.0004156296823693,0.0007419281739849,7.10447668485731,2.3155465162654667,0.4540288449538397,2.6173577517924924
69,16.0,17.0,,17.0,0.0819462269819054,2.660335079776438e-05,0.0004097549628474,0.0702035802089852,7.186422911839215,2.315573119616264,0.4538470578791466,2.687561332001478
70,16.0,17.0,,17.0,0.0091270140060904,1.82942310928038e-05,0.0002647217182853,0.0136096725269151,7.195549925845306,2.315591413847357,0.45374852979586,2.701171004528393
71,16.0,17.0,,17.0,0.0117091677934947,1.2505449388955186e-05,0.0003996261257368,0.0123549633364157,7.207259093638801,2.315603919296746,0.4533489036701231,2.713525967864809
72,16.0,17.0,,17.0,0.0564003011958195,8.499312646979523e-06,0.0003899637744359,0.0112240292971904,7.26365939483462,2.315612418609393,0.4532086038323806,2.724749997162
73,16.0,17.0,,17.0,0.0700846539605108,5.744544466771818e-06,0.0002607932891559,0.0102137453914485,7.33374404879513,2.31561816315386,0.4530348037695114,2.734963742553448
74,16.0,17.0,,17.0,0.0144382384919314,3.861878795883575e-06,0.0002631940426355,0.0373809112647664,7.348182287287063,2.315622025032656,0.4527716097268759,2.7723446538182146
75,16.0,17.0,,17.0,0.0181231079764701,2.582813792099802e-06,0.0001851771947486,0.008459615508849,7.366305395263532,2.3156246078464475,0.4525864325321272,2.780804269327063
76,16.0,17.0,,17.0,0.0384808547344877,1.718760987579797e-06,0.000159753091301,0.0119405542984823,7.40478624999802,2.3156263266074357,0.4524266794408263,2.792744823625546
77,16.0,17.0,,17.0,0.0347835109133412,1.1382531402663536e-06,0.0003094950792945,0.0090464313417113,7.439569760911363,2.315627464860576,0.4521171843615318,2.801791254967257
78,16.0,17.0,,17.0,0.0022807869713673,7.502965380608497e-07,0.0003380793332279,0.0241164126381291,7.441850547882729,2.3156282151571137,0.4517791050283039,2.8259076676053856
79,16.0,17.0,,17.0,0.0946945474963253,4.923391062105397e-07,0.0001973281896054,0.0057359052194115,7.536545095379054,2.31562870749622,0.4515817768386984,2.831643572824797
80,16.0,17.0,,17.0,0.0534945166006811,3.2165968042369497e-07,7.519607779970813e-05,0.0495330567612267,7.589932920399884,2.3156290291559,0.4515065807608986,2.8811766295860246
81,16.0,17.0,,17.0,0.0454012565083034,2.0926209997839722e-07,0.0004990808779589,0.0585347285520209,7.635334176908187,2.3156292384180004,0.4511817981697268,2.93924510720804
82,16.0,17.0,,17.0,0.0370934226787123,1.3558269176252248e-07,0.0002064004583393,0.0421978996524423,7.6724275995869,2.315629374000692,0.4509753977113875,2.981443006860482
83,16.0,17.0,,17.0,0.0001365618288036,8.749699604959177e-08,0.0004545368655671,0.0067623270640601,7.6725641614157025,2.315629461497688,0.450731981314899,2.988205333924542
84,16.0,17.0,,17.0,0.0391531792004945,5.6248419314632916e-08,0.0003817695054633,0.0192461717294308,7.711717340616198,2.3156295177461077,0.4503510845655636,3.007451505653973
85,16.0,17.0,,17.0,3.80104949529316e-05,3.6025212526334635e-08,0.0002302369008576,0.0009049449154778,7.711755351111151,2.31562955377132,0.4501208476647061,3.008356450569451
86,16.0,17.0,,17.0,3.0960343611614844e-06,2.2989546532019733e-08,9.319224863637222e-05,0.0007000256517044,7.711758447145512,2.3156295767608666,0.4500276554160697,3.009056476221155
87,16.0,17.0,,17.0,0.0078626414179198,1.4619360453428692e-08,0.0003026995398524,0.0382792424371293,7.719621088563431,2.315629591380227,0.449826740105522,3.0473357186582843
88,16.0,17.0,,17.0,0.0002813892649014,9.264990493571509e-09,0.0006316909809366,0.0987113439194593,7.719902477828333,2.315629600645217,0.4495250851881002,3.146047062577744
89,16.0,17.0,,17.0,7.360353722070822e-06,5.852249871429507e-09,0.000291679353373,0.0386693302583812,7.719909838182057,2.3156296064974677,0.4492334058347271,3.184567921221209
90,16.0,17.0,,17.0,0.0262749402364095,3.6847063454817532e-09,0.0004263203961473,0.0581805412136574,7.746184778418465,2.3156296101821736,0.4488070854385798,3.242748462434867
91,16.0,17.0,,17.0,0.0609371756619404,2.312726158115822e-09,0.0003376107619002,5.801487197932826e-06,7.807121954080406,2.3156296124949,0.4484999804862695,3.242754263922065
92,16.0,17.0,,17.0,0.0311414318398632,1.4471861754143832e-09,0.0001791499655286,7.467524062788836e-07,7.838263385920269,2.315629613942086,0.4483208305207408,3.242755010674471
93,16.0,17.0,,17.0,0.0309652105379539,9.028996563779308e-10,0.0001476686045843,9.135356292917619e-08,7.868531032644269,2.315629614844985,0.4481731619161564,3.2427551020280343
94,16.0,17.0,,17.0,1.1875691166827841e-07,5.616995259879709e-10,0.0001714992289283,1.080939910379133e-08,7.868531151401181,2.315629615406685,0.4480016626872281,3.242755112837433
95,16.0,17.0,,17.0,0.0009703466665277,3.4845862663753516e-10,0.0002506745462409,0.0474757564597923,7.8695014980677085,2.3156296157551437,0.447750988140987,3.290230869297225
96,16.0,17.0,,17.0,0.0002395404774165,2.1558224822639427e-10,0.0002454328978949,0.0427996557971978,7.869741038545125,2.315629615970726,0.4475055552430922,3.333030525094423
97,16.0,17.0,,17.0,0.044155842129032,1.3302087508947948e-10,9.143881586356752e-05,6.082262696077677e-05,7.913896880674158,2.315629616103746,0.4474141164272285,3.333091347721384
98,16.0,17.0,,17.0,6.473276154420141e-06,8.186552772703751e-11,0.0003339266239811,0.0013200538007277,7.913903353950311,2.3156296161856127,0.4472070043422482,3.334411401522112
99,16.0,17.0,,17.0,0.0347158513608094,5.025569264565081e-11,0.0002864342036737,9.644972397328157e-08,7.94861920531112,2.315629616235868,0.4469842333758061,3.334411497971836
